0 0
-0.998422 -0.0561581
-1.84583 -0.587094
-2.73304 -0.125716
-3.52237 0.488255
-3.03471 1.36129
-3.6674 0.586888
-3.09216 1.40487
-3.04761 0.405865
-3.03558 -0.594062
-4.02686 -0.725794

0 0
0.917954 0.396688
1.26914 -0.539617
2.02919 0.110251
1.14703 -0.360706
1.14853 0.639293
1.30942 1.62627
1.67474 2.55714
0.712113 2.82796
-0.243023 2.53179
-0.506414 1.56711

0 0
0.199162 0.979967
1.17594 1.19424
1.73053 0.362117
2.72968 0.403415
3.61194 -0.0673345
4.57858 -0.323494
5.57607 -0.252723
4.95675 -1.03786
4.68895 -2.00133
5.50492 -1.42324
